Id,Target,CellLine
10580_1610_C1_1,0 2 25 21 13,RH-30
10580_1610_C1_2,0 2 25 21 13,RH-30
10580_1756_B1_1,0 2 25 21 13,U-2 OS
10580_1756_B1_2,0 2 25 21 13,U-2 OS
10580_1758_B1_1,0 2 25 21 13,SK-MEL-30
10580_1758_B1_2,0 2 25 21 13,SK-MEL-30
10814_50_A1_1,6,U-2 OS
10814_50_A1_2,6,U-2 OS
10814_51_A1_1,6,A-431
10814_51_A1_2,6,A-431
10814_856_E12_1,6,U-251 MG
10814_856_E12_2,6,U-251 MG
11311_88_G2_1,25 6,U-251 MG
11311_88_G2_2,25 6,U-251 MG
11311_89_G2_1,25 6,A-431
11311_89_G2_2,25 6,A-431
11311_90_G2_1,25 6,U-2 OS
11311_90_G2_2,25 6,U-2 OS
11651_1601_F3_3,23 0,MCF7
11651_1601_F3_4,23 0,MCF7
11651_1611_B3_2,23 0,SiHa
11651_1611_B3_3,23 0,SiHa
11651_1732_F3_13_cr580610dc203b9,23 0,U-2 OS
11651_1732_F3_18_cr580610e574a5b,23 0,U-2 OS
1183_50_A11_1,21,U-2 OS
1183_50_A11_2,21,U-2 OS
1183_51_A11_1,21,A-431
1183_51_A11_2,21,A-431
1183_52_A11_1,21,U-251 MG
1183_52_A11_2,21,U-251 MG
1223_79_E2_1,2,U-251 MG
1223_79_E2_2,2,U-251 MG
1223_80_E2_1,2,A-431
1223_80_E2_2,2,A-431
1223_81_E2_1,2,U-2 OS
1223_81_E2_2,2,U-2 OS
1312_59_F4_1,6 4,U-2 OS
1312_59_F4_2,6 4,U-2 OS
1312_60_F4_1,6 4,A-431
1312_60_F4_2,6 4,A-431
1312_61_F4_1,6 4,U-251 MG
1312_61_F4_2,6 4,U-251 MG
1400_29_C2_1,25 27,U-2 OS
1400_29_C2_2,25 27,U-2 OS
1400_31_C2_1,25 27,U-251 MG
1400_31_C2_2,25 27,U-251 MG
1400_973_A2_5,25 27,A-431
1400_973_A2_6,25 27,A-431
14118_1553_B5_2,2,CACO-2
14118_1553_B5_3,2,CACO-2
14118_1566_F12_1,2,A549
14118_1566_F12_2,2,A549
14118_1568_F12_1,2,U-2 OS
14118_1568_F12_2,2,U-2 OS
1648_13_E5_1,25,U-2 OS
1648_13_E5_2,25,U-2 OS
1648_14_E5_1,25,A-431
1648_14_E5_2,25,A-431
1648_16_E5_1,25,U-251 MG
1648_16_E5_2,25,U-251 MG
16884_133_F2_1,0 25,U-251 MG
16884_133_F2_2,0 25,U-251 MG
16884_134_F2_1,0 25,A-431
16884_134_F2_2,0 25,A-431
16884_135_F2_1,0 25,U-2 OS
16884_135_F2_2,0 25,U-2 OS
16995_138_C2_1,4,A-431
16995_138_C2_2,4,A-431
16995_139_C2_1,4,U-2 OS
16995_139_C2_2,4,U-2 OS
16995_166_C2_1,4,U-251 MG
16995_166_C2_2,4,U-251 MG
18517_1042_H5_1,23 19,HEK 293
18517_1042_H5_3,23 19,HEK 293
18517_117_C9_1,23 19,U-2 OS
18517_117_C9_2,23 19,U-2 OS
18517_1764_H1_3,23 19,MCF7
18517_1764_H1_5,23 19,MCF7
18683_1055_C9_1,18 0,U-2 OS
18683_1055_C9_2,18 0,U-2 OS
18683_1142_C9_1,18 0,Hep G2
18683_1142_C9_3,18 0,Hep G2
18683_1395_G2_1,18 0,RT4
18683_1395_G2_2,18 0,RT4
19206_1046_C8_4,21,HeLa
19206_1046_C8_6,21,HeLa
19206_1165_F8_1,21,RH-30
19206_1165_F8_2,21,RH-30
19206_154_C9_1,21,U-2 OS
19206_154_C9_2,21,U-2 OS
19477_183_F8_1,7 25,U-251 MG
