epoch,train_loss,valid_loss,fbeta
1,0.135439,0.112580,0.612450
2,0.123127,0.110242,0.621842
3,0.135855,0.107733,0.634539
4,0.118830,0.102926,0.653951
5,0.117566,0.099263,0.667386
6,0.122226,0.096335,0.675375
7,0.117155,0.096411,0.683603
8,0.115931,0.093893,0.693832
9,0.112038,0.091816,0.704627
10,0.111964,0.090496,0.704733
11,0.097502,0.091710,0.709168
12,0.107446,0.088234,0.711689
13,0.107341,0.089641,0.716358
14,0.101006,0.087115,0.715690
15,0.102972,0.083474,0.719485
16,0.098711,0.083084,0.729181
17,0.102894,0.083840,0.718601
18,0.097800,0.083492,0.725609
19,0.092728,0.082740,0.747863
20,0.091020,0.081927,0.747840
21,0.089390,0.082488,0.741414
22,0.087504,0.079540,0.748725
23,0.087196,0.079928,0.750668
24,0.084304,0.078799,0.736952
25,0.094737,0.078933,0.761385
26,0.079959,0.075957,0.742227
27,0.083715,0.077300,0.743893
28,0.078830,0.091779,0.748445
29,0.079807,0.077695,0.746769
30,0.082383,0.076031,0.752197
