epoch,train_loss,valid_loss,fbeta
1,0.146507,0.130961,0.583821
2,0.143536,0.132456,0.586801
3,0.146771,0.125895,0.605248
4,0.138671,0.121563,0.626044
5,0.141348,0.117997,0.635899
6,0.143462,0.117129,0.648267
7,0.134467,0.113109,0.660583
8,0.142680,0.110399,0.664571
9,0.122395,0.110633,0.649795
10,0.122455,0.108946,0.679221
11,0.121576,0.103697,0.695938
12,0.120732,0.104423,0.695017
13,0.118283,0.732375,0.673422
14,0.125623,0.105868,0.705331
15,0.123619,0.475785,0.689152
16,0.112786,0.107247,0.695778
17,0.111162,0.115193,0.710302
