epoch,train_loss,valid_loss,fbeta
1,0.962933,0.897114,0.361549
2,0.923294,0.858189,0.377981
3,0.894766,0.853238,0.374987
4,0.879178,0.834466,0.398009
5,0.886412,0.831974,0.388607
6,0.875550,0.801167,0.415097
7,0.841504,0.814870,0.425946
8,0.825239,0.810817,0.461560
9,0.795303,0.760426,0.444255
10,0.739893,0.737452,0.485511
11,0.742716,0.736318,0.497964
12,0.697567,0.695070,0.514574
13,0.664281,0.652473,0.534417
14,0.626951,0.644888,0.557919
15,0.588386,0.610429,0.558296
16,0.571388,0.613171,0.565778
17,0.538452,0.587483,0.604956
18,0.509280,0.557396,0.603101
19,0.477136,0.549873,0.619411
20,0.444669,0.552225,0.628977
21,0.400722,0.556572,0.661806
22,0.385734,0.536784,0.674261
23,0.355294,0.547249,0.687778
24,0.331037,0.553488,0.695433
25,0.303808,0.551670,0.704463
26,0.278455,0.558341,0.715364
27,0.265928,0.569731,0.720802
28,0.257536,0.572898,0.726388
