epoch,train_loss,valid_loss,fbeta
1,0.099055,0.168130,0.691747
2,0.095553,0.111829,0.696375
3,0.094296,0.098131,0.704309
4,0.092104,0.095488,0.703223
5,0.090398,0.092774,0.712224
6,0.089258,0.089307,0.701030
7,0.086942,0.082199,0.725016
8,0.086930,0.082129,0.728326
9,0.087543,0.092124,0.726698
10,0.085037,0.086112,0.713841
11,0.081730,0.080218,0.735540
12,0.079122,0.082294,0.715998
13,0.080138,0.077525,0.739966
14,0.077329,0.076871,0.742377
15,0.073959,0.074427,0.748240
16,0.071017,0.073331,0.752343
17,0.069828,0.073904,0.757669
18,0.066959,0.074494,0.759687
19,0.065693,0.080381,0.749618
20,0.062885,0.076000,0.761310
21,0.062672,0.069983,0.765338
22,0.060437,0.069769,0.768175
23,0.055204,0.068085,0.780890
24,0.054507,0.068237,0.776213
25,0.053640,0.070407,0.782927
26,0.049998,0.069906,0.780515
27,0.046739,0.071341,0.783429
28,0.044845,0.065627,0.788434
29,0.042104,0.067730,0.793052
30,0.041673,0.064844,0.799629
31,0.038591,0.067799,0.799649
32,0.035209,0.071909,0.798758
33,0.033144,0.069417,0.801529
34,0.032191,0.070303,0.802437
35,0.028874,0.071448,0.803864
36,0.025996,0.071124,0.807505
37,0.024598,0.073110,0.809478
38,0.021970,0.074416,0.809240
39,0.021071,0.074586,0.812468
40,0.019926,0.077467,0.813568
41,0.019136,0.077601,0.813618
