epoch,train_loss,valid_loss,fbeta
1,0.109775,0.103039,0.669784
2,0.110152,0.100764,0.676461
3,0.107245,0.102274,0.679280
4,0.104871,0.111974,0.685002
5,0.102613,0.098185,0.687527
6,0.098509,0.098126,0.686827
7,0.096549,0.097526,0.694345
8,0.095824,0.098002,0.691097
9,0.090880,0.095395,0.706369
10,0.085195,0.092557,0.707633
11,0.085225,0.090656,0.723264
12,0.078520,0.114657,0.714415
13,0.076475,0.086927,0.727637
14,0.075676,0.089186,0.717501
15,0.069457,0.087111,0.734945
16,0.068623,0.088639,0.733984
17,0.061520,0.083556,0.747470
18,0.060496,0.081457,0.751751
19,0.058248,0.081501,0.755292
20,0.053813,0.082257,0.759884
21,0.048667,0.080091,0.761545
22,0.046971,0.080486,0.762479
23,0.043424,0.080832,0.766055
24,0.042068,0.080725,0.768568
25,0.040165,0.080796,0.770695
26,0.035785,0.081498,0.771807
27,0.034575,0.081287,0.771741
