epoch,train_loss,valid_loss,fbeta
1,0.114168,0.103036,0.673538
2,0.110499,0.101116,0.691260
3,0.111712,0.098248,0.691489
4,0.106786,0.103685,0.691869
5,0.107181,0.143460,0.689161
6,0.103346,0.101801,0.681697
7,0.100336,0.097523,0.698443
8,0.096963,0.092832,0.713870
9,0.093550,0.097406,0.690610
10,0.089699,0.090855,0.717371
11,0.090339,0.087239,0.741007
12,0.086856,0.084769,0.738838
13,0.083110,0.079480,0.749384
14,0.078464,0.080130,0.755708
15,0.074986,0.076221,0.755789
16,0.072464,0.076107,0.768632
17,0.070123,0.074803,0.773806
18,0.067650,0.072305,0.777925
19,0.064679,0.069574,0.785977
20,0.059744,0.067500,0.794695
21,0.058070,0.064537,0.797935
22,0.053324,0.064452,0.799592
23,0.050881,0.064710,0.807161
24,0.047598,0.063301,0.814803
25,0.045677,0.063197,0.814240
26,0.043856,0.063110,0.816001
27,0.041651,0.062846,0.817246
28,0.042860,0.062795,0.816844
29,0.040080,0.062188,0.815915
30,0.043371,0.062343,0.817858
