epoch,train_loss,valid_loss,fbeta
1,0.122739,0.108043,0.653472
2,0.120542,0.106460,0.663732
3,0.120227,0.103669,0.674140
4,0.112141,0.100273,0.682882
5,0.115637,0.098282,0.682093
6,0.116778,0.096549,0.699332
7,0.110976,0.093240,0.704584
8,0.101675,0.092660,0.707963
9,0.103779,0.088750,0.715168
10,0.100245,0.086346,0.725400
11,0.097445,0.087116,0.719731
12,0.096254,0.082188,0.739288
13,0.090083,0.080812,0.742938
14,0.089826,0.077517,0.756620
15,0.092441,0.077976,0.746276
16,0.084511,0.074121,0.764899
17,0.077707,0.073207,0.761141
18,0.080347,0.071584,0.777889
19,0.077617,0.069578,0.781882
20,0.072700,0.067456,0.786718
21,0.072315,0.066574,0.791510
22,0.070278,0.065775,0.791728
23,0.063462,0.064644,0.795169
24,0.062370,0.064637,0.800542
25,0.061219,0.063879,0.805935
26,0.058839,0.062830,0.805353
27,0.060144,0.063060,0.805913
28,0.058611,0.062938,0.808530
29,0.061291,0.063152,0.803963
30,0.058036,0.062380,0.804988
